model,rating,reviews,memory,size,camera,battery,processor,warranty,price,original_price,discounted_percentage
"Nothing Phone (2a) 5G (White, 128 GB)",4.5,"4,160 Ratings & 670 Reviews",8 GB RAM | 128 GB ROM,17.02 cm (6.7 inch) Full HD+ Display,50MP (OIS) + 50MP | 32MP Front Camera,5000 mAh Battery,Dimensity 7200 Pro Processor,1 Year Manufacturing Warranty,"₹23,999","₹25,999",7% off
"Motorola G34 5G (Ocean Green, 128 GB)",4.2,"19,483 Ratings & 2,240 Reviews",8 GB RAM | 128 GB ROM,16.51 cm (6.5 inch) HD+ Display,50MP + 2MP | 16MP Front Camera,5000 mAh Battery,Snapdragon 695 5G Processor,Vegan Leather Design,"₹11,999","₹14,999",20% off
"Motorola G34 5G (Ice Blue, 128 GB)",4.2,"19,483 Ratings & 2,240 Reviews",8 GB RAM | 128 GB ROM,16.51 cm (6.5 inch) HD+ Display,50MP + 2MP | 16MP Front Camera,5000 mAh Battery,Snapdragon 695 5G Processor,1 Year on Handset and 6 Months on Accessories,"₹11,999","₹14,999",20% off
"POCO C55 (Power Black, 64 GB)",4.2,"1,11,926 Ratings & 6,975 Reviews",4 GB RAM | 64 GB ROM | Expandable Upto 1 TB,17.04 cm (6.71 inch) HD+ Display,50MP Dual Rear Camera | 5MP Front Camera,5000 mAh Battery,Mediatek Helio G85 Processor,1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In the Box Accessories,"₹5,999","₹11,999",50% off
"POCO C51 (Power Black, 64 GB)",4,"1,95,747 Ratings & 11,002 Reviews",4 GB RAM | 64 GB ROM | Expandable Upto 1 TB,16.56 cm (6.52 inch) HD+ Display,8MP Dual Rear Camera | 5MP Front Camera,5000 mAh Battery,Helio G36 Processor,1 Year Manufacturer Warranty for Phone and 6 Months Warranty for in the Box Accessories,"₹5,499","₹9,999",45% off
"Motorola G34 5G (Charcoal Black, 128 GB)",4.2,"19,483 Ratings & 2,240 Reviews",8 GB RAM | 128 GB ROM,16.51 cm (6.5 inch) HD+ Display,50MP + 2MP | 16MP Front Camera,5000 mAh Battery,Snapdragon 695 5G Processor,1 Year on Handset and 6 Months on Accessories,"₹11,999","₹14,999",20% off
"POCO C51 (Power Black, 128 GB)",4.1,"8,244 Ratings & 460 Reviews",6 GB RAM | 128 GB ROM | Expandable Upto 1 TB,16.56 cm (6.52 inch) HD+ Display,8MP Rear Camera | 5MP Front Camera,5000 mAh Lithium Polymer Battery,Helio G36 Processor,1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In the Box Accessories,"₹5,999","₹10,999",45% off
"POCO C51 (Royal Blue, 128 GB)",4.1,"8,244 Ratings & 460 Reviews",6 GB RAM | 128 GB ROM | Expandable Upto 1 TB,16.56 cm (6.52 inch) HD+ Display,8MP Rear Camera | 5MP Front Camera,5000 mAh Lithium Polymer Battery,Helio G36 Processor,1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In the Box Accessories,"₹5,999","₹10,999",45% off
"Infinix SMART 8 (Timber Black, 128 GB)",4.4,"2,047 Ratings & 158 Reviews",8 GB RAM | 128 GB ROM | Expandable Upto 2 TB,16.76 cm (6.6 inch) HD+ Display,50MP + AI Lens | 8MP Front Camera,5000 mAh Battery,Helio G36 Processor,1 Year on Handset and 6 Months on Accessories,"₹8,299","₹10,999",24% off
"Infinix SMART 8 (Galaxy White, 128 GB)",4.4,"2,047 Ratings & 158 Reviews",8 GB RAM | 128 GB ROM | Expandable Upto 2 TB,16.76 cm (6.6 inch) HD+ Display,50MP + AI Lens | 8MP Front Camera,5000 mAh Battery,Helio G36 Processor,1 Year on Handset and 6 Months on Accessories,"₹8,299","₹10,999",24% off
"Infinix SMART 8 (Shiny Gold, 128 GB)",4.4,"2,047 Ratings & 158 Reviews",8 GB RAM | 128 GB ROM | Expandable Upto 2 TB,16.76 cm (6.6 inch) HD+ Display,50MP + AI Lens | 8MP Front Camera,5000 mAh Battery,Helio G36 Processor,1 Year on Handset and 6 Months on Accessories,"₹8,299","₹10,999",24% off
"Infinix SMART 8 (Rainbow Blue, 64 GB)",4.3,"9,678 Ratings & 774 Reviews",4 GB RAM | 64 GB ROM | Expandable Upto 2 TB,16.76 cm (6.6 inch) HD+ Display,50MP + AI Lens | 8MP Front Camera,5000 mAh Battery,Helio G36 Processor,1 Year on Handset and 6 Months on Accessories,"₹6,999","₹8,999",22% off
"realme C53 (Champion Black, 64 GB)",4.4,"1,08,964 Ratings & 5,026 Reviews",6 GB RAM | 64 GB ROM | Expandable Upto 2 TB,17.12 cm (6.74 inch) HD Display,108MP + 2MP | 8MP Front Camera,5000 mAh Battery,T612 Processor,1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In the Box Accessories,"₹8,999","₹12,999",30% off
"Infinix SMART 8 (Galaxy White, 64 GB)",4.3,"9,678 Ratings & 774 Reviews",4 GB RAM | 64 GB ROM | Expandable Upto 2 TB,16.76 cm (6.6 inch) HD+ Display,50MP + AI Lens | 8MP Front Camera,5000 mAh Battery,Helio G36 Processor,1 Year on Handset and 6 Months on Accessories,"₹6,999","₹8,999",22% off
"Infinix SMART 8 (Shiny Gold, 64 GB)",4.3,"9,678 Ratings & 774 Reviews",4 GB RAM | 64 GB ROM | Expandable Upto 2 TB,16.76 cm (6.6 inch) HD+ Display,50MP + AI Lens | 8MP Front Camera,5000 mAh Battery,Helio G36 Processor,1 Year on Handset and 6 Months on Accessories,"₹6,999","₹8,999",22% off
"Apple iPhone 15 (Blue, 128 GB)",4.6,"18,524 Ratings & 1,267 Reviews",128 GB ROM,15.49 cm (6.1 inch) Super Retina XDR Display,48MP + 12MP | 12MP Front Camera,"A16 Bionic Chip, 6 Core Processor Processor",1 Year Warranty for Phone and 6 Months Warranty for In-Box Accessories,No Warranty,"₹72,999","₹79,900",8% off
"Motorola g54 5G (Midnight Blue, 128 GB)",4.2,"74,755 Ratings & 7,417 Reviews",8 GB RAM | 128 GB ROM | Expandable Upto 1 TB,16.51 cm (6.5 inch) Full HD+ Display,50MP (OIS) + 8MP | 16MP Front Camera,6000 mAh Battery,Dimensity 7020 Processor,1 Year on Handset and 6 Months on Accessories,"₹13,999","₹17,999",22% off
"Infinix SMART 8 (Timber Black, 64 GB)",4.3,"9,678 Ratings & 774 Reviews",4 GB RAM | 64 GB ROM | Expandable Upto 2 TB,16.76 cm (6.6 inch) HD+ Display,50MP + AI Lens | 8MP Front Camera,5000 mAh Battery,Helio G36 Processor,1 Year on Handset and 6 Months on Accessories,"₹6,999","₹8,999",22% off
"REDMI 13C (Stardust Black, 128 GB)",4.3,"3,245 Ratings & 216 Reviews",4 GB RAM | 128 GB ROM | Expandable Upto 1 TB,17.12 cm (6.74 inch) HD+ Display,50MP Rear Camera | 8MP Front Camera,5000 mAh Battery,Helio G85 Processor,1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In the Box Accessories,"₹7,999","₹11,999",33% off
"REDMI 13C (Starfrost White, 128 GB)",4.3,"3,245 Ratings & 216 Reviews",4 GB RAM | 128 GB ROM | Expandable Upto 1 TB,17.12 cm (6.74 inch) HD+ Display,50MP Rear Camera | 8MP Front Camera,5000 mAh Battery,Helio G85 Processor,1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In the Box Accessories,"₹7,999","₹11,999",33% off
"SAMSUNG Galaxy F14 5G (OMG Black, 128 GB)",4.2,"92,963 Ratings & 6,973 Reviews",6 GB RAM | 128 GB ROM | Expandable Upto 1 TB,16.76 cm (6.6 inch) Full HD+ Display,50MP + 2MP | 13MP Front Camera,6000 mAh Battery,"Exynos 1330, Octa Core Processor",1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for In-Box Accessories,"₹10,490","₹18,490",43% off
"Motorola Edge 40 Neo (Soothing Sea, 128 GB)",4.3,"33,971 Ratings & 4,274 Reviews",8 GB RAM | 128 GB ROM,16.64 cm (6.55 inch) Full HD+ Display,50MP + 13MP | 32MP Front Camera,5000 mAh Battery,Dimensity 7030 Processor,1 Year on Handset and 6 Months on Accessories,"₹22,999","₹27,999",17% off
"Infinix SMART 8 (Rainbow Blue, 128 GB)",4.4,"2,047 Ratings & 158 Reviews",8 GB RAM | 128 GB ROM | Expandable Upto 2 TB,16.76 cm (6.6 inch) HD+ Display,50MP + AI Lens | 8MP Front Camera,5000 mAh Battery,Helio G36 Processor,1 Year on Handset and 6 Months on Accessories,"₹8,299","₹10,999",24% off
"POCO M6 5G - Locked with Airtel Prepaid (Polaris Green, 128 GB)",4.3,"11,869 Ratings & 835 Reviews",4 GB RAM | 128 GB ROM | Expandable Upto 1 TB,17.12 cm (6.74 inch) HD+ Display,50MP Rear Camera,5000 mAh Battery,Mediatek Dimensity 6100+ Processor,1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In the Box Accessories,"₹8,799","₹12,999",32% off
"vivo T2x 5G (Marine Blue, 128 GB)",4.4,"3,70,972 Ratings & 20,947 Reviews",6 GB RAM | 128 GB ROM,16.71 cm (6.58 inch) Full HD+ Display,50MP + 2MP | 8MP Front Camera,5000 mAh Battery,Mediatek Dimensity 6020 Processor,1 Year of Device & 6 Months for Inbox Accessories,"₹12,999","₹18,999",31% off
"vivo T2x 5G (Glimmer Black, 128 GB)",4.4,"3,70,972 Ratings & 20,947 Reviews",6 GB RAM | 128 GB ROM,16.71 cm (6.58 inch) Full HD+ Display,50MP + 2MP | 8MP Front Camera,5000 mAh Battery,Mediatek Dimensity 6020 Processor,1 Year of Device & 6 Months for Inbox Accessories,"₹12,999","₹18,999",31% off
"Nothing Phone (2a) 5G (Black, 256 GB)",4.6,306 Ratings & 28 Reviews,12 GB RAM | 256 GB ROM,17.02 cm (6.7 inch) Full HD+ Display,50MP (OIS) + 50MP | 32MP Front Camera,5000 mAh Battery,Dimensity 7200 Pro Processor,1 Year Manufacturing Warranty,"₹27,999","₹29,999",6% off
"vivo T2x 5G (Sunstone Orange, 128 GB)",4.4,"3,70,972 Ratings & 20,947 Reviews",6 GB RAM | 128 GB ROM,16.71 cm (6.58 inch) Full HD+ Display,50MP + 2MP | 8MP Front Camera,5000 mAh Battery,Mediatek Dimensity 6020 Processor,1 Year of Device & 6 Months for Inbox Accessories,"₹12,999","₹18,999",31% off
"vivo T2x 5G (Aurora Gold, 128 GB)",4.4,"3,70,972 Ratings & 20,947 Reviews",6 GB RAM | 128 GB ROM,16.71 cm (6.58 inch) Full HD+ Display,50MP + 2MP | 8MP Front Camera,5000 mAh Battery,Mediatek Dimensity 6020 Processor,1 Year of Device & 6 Months for Inbox Accessories,"₹12,999","₹18,999",31% off
"POCO M6 Pro 5G (Forest Green, 128 GB)",4.3,"74,572 Ratings & 5,098 Reviews",6 GB RAM | 128 GB ROM | Expandable Upto 1 TB,17.25 cm (6.79 inch) Full HD+ Display,50MP + 2MP | 8MP Front Camera,5000 mAh Battery,Snapdragon 4 Gen 2 Processor,1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In the Box Accessories,"₹10,999","₹16,999",35% off
"realme C53 (Champion Gold, 64 GB)",4.4,"1,08,964 Ratings & 5,026 Reviews",6 GB RAM | 64 GB ROM | Expandable Upto 2 TB,17.12 cm (6.74 inch) HD Display,108MP + 2MP | 8MP Front Camera,5000 mAh Battery,T612 Processor,1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In the Box Accessories,"₹8,999","₹12,999",30% off
"vivo T2x 5G (Aurora Gold, 128 GB)",4.4,"1,62,803 Ratings & 8,707 Reviews",4 GB RAM | 128 GB ROM,16.71 cm (6.58 inch) Full HD+ Display,50MP + 2MP | 8MP Front Camera,5000 mAh Battery,Mediatek Dimensity 6020 Processor,1 Year of Device & 6 Months for Inbox Accessories,"₹11,999","₹17,999",33% off
"vivo T2x 5G (Aurora Gold, 128 GB)",4.3,"65,556 Ratings & 3,975 Reviews",8 GB RAM | 128 GB ROM,16.71 cm (6.58 inch) Full HD+ Display,50MP + 2MP | 8MP Front Camera,5000 mAh Battery,Mediatek Dimensity 6020 Processor,1 Year of Device & 6 Months for Inbox Accessories,"₹14,999","₹20,999",28% off
"vivo T2x 5G (Marine Blue, 128 GB)",4.3,"65,556 Ratings & 3,975 Reviews",8 GB RAM | 128 GB ROM,16.71 cm (6.58 inch) Full HD+ Display,50MP + 2MP | 8MP Front Camera,5000 mAh Battery,Mediatek Dimensity 6020 Processor,1 Year of Device & 6 Months for Inbox Accessories,"₹14,999","₹20,999",28% off
"realme C51 (Mint Green, 128 GB)",4.3,"73,685 Ratings & 3,259 Reviews",4 GB RAM | 128 GB ROM | Expandable Upto 2 TB,17.12 cm (6.74 inch) HD Display,50MP + 0.08MP | 5MP Front Camera,5000 mAh Battery,T612 Processor,1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In the Box Accessories,"₹8,999","₹11,999",25% off
"vivo T2x 5G (Marine Blue, 128 GB)",4.4,"1,62,803 Ratings & 8,707 Reviews",4 GB RAM | 128 GB ROM,16.71 cm (6.58 inch) Full HD+ Display,50MP + 2MP | 8MP Front Camera,5000 mAh Battery,Mediatek Dimensity 6020 Processor,1 Year of Device & 6 Months for Inbox Accessories,"₹11,999","₹17,999",33% off
"vivo T2x 5G (Black Gladiator, 128 GB)",4.4,"3,70,972 Ratings & 20,947 Reviews",6 GB RAM | 128 GB ROM,16.71 cm (6.58 inch) Full HD+ Display,50MP + 2MP | 8MP Front Camera,5000 mAh Battery,Mediatek Dimensity 6020 Processor,1 Year of Device & 6 Months for Inbox Accessories,"₹12,999","₹18,999",31% off
"realme C51 (Carbon Black, 128 GB)",4.3,"73,685 Ratings & 3,259 Reviews",4 GB RAM | 128 GB ROM | Expandable Upto 2 TB,17.12 cm (6.74 inch) HD Display,50MP + 0.08MP | 5MP Front Camera,5000 mAh Battery,T612 Processor,1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In the Box Accessories,"₹8,999","₹11,999",25% off
"Motorola e13 (Cosmic Black, 128 GB)",4.1,"30,383 Ratings & 1,875 Reviews",8 GB RAM | 128 GB ROM | Expandable Upto 1 TB,16.51 cm (6.5 inch) HD+ Display,13MP Rear Camera | 5MP Front Camera,5000 mAh Battery,Unisoc T606 Processor,1 Year on Handset and 6 Months on Accessories,"₹7,499","₹10,999",31% off
"realme C51 (Mint Green, 64 GB)",4.3,"73,685 Ratings & 3,259 Reviews",4 GB RAM | 64 GB ROM | Expandable Upto 2 TB,17.12 cm (6.74 inch) HD Display,50MP + 0.08MP | 5MP Front Camera,5000 mAh Battery,T612 Processor,1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In the Box Accessories,"₹7,999","₹10,999",27% off
"realme C51 (Carbon Black, 64 GB)",4.3,"73,685 Ratings & 3,259 Reviews",4 GB RAM | 64 GB ROM | Expandable Upto 2 TB,17.12 cm (6.74 inch) HD Display,50MP + 0.08MP | 5MP Front Camera,5000 mAh Battery,T612 Processor,1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In the Box Accessories,"₹7,999","₹10,999",27% off
"Motorola g54 5G (Mint Green, 128 GB)",4.2,"74,755 Ratings & 7,417 Reviews",8 GB RAM | 128 GB ROM | Expandable Upto 1 TB,16.51 cm (6.5 inch) Full HD+ Display,50MP (OIS) + 8MP | 16MP Front Camera,6000 mAh Battery,Dimensity 7020 Processor,1 Year on Handset and 6 Months on Accessories,"₹13,999","₹17,999",22% off
"POCO M6 Pro 5G (Forest Green, 256 GB)",4.2,"9,819 Ratings & 870 Reviews",8 GB RAM | 256 GB ROM | Expandable Upto 1 TB,17.25 cm (6.79 inch) Full HD+ Display,50MP + 2MP | 8MP Front Camera,5000 mAh Battery,Snapdragon 4 Gen 2 Processor,1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In the Box Accessories,"₹12,499","₹17,999",30% off
"Motorola g84 5G (Viva Magenta, 256 GB)",4.2,"34,740 Ratings & 3,616 Reviews",12 GB RAM | 256 GB ROM,16.64 cm (6.55 inch) Full HD+ Display,50MP (OIS) + 8MP | 16MP Front Camera,5000 mAh Battery,Snapdragon 695 Processor,1 Year on Handset and 6 Months on Accessories,"₹17,999","₹22,999",21% off
"SAMSUNG Galaxy F14 5G (B.A.E. Purple, 128 GB)",4.2,"92,963 Ratings & 6,973 Reviews",6 GB RAM | 128 GB ROM | Expandable Upto 1 TB,16.76 cm (6.6 inch) Full HD+ Display,50MP + 2MP | 13MP Front Camera,6000 mAh Battery,"Exynos 1330, Octa Core Processor",1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for In-Box Accessories,"₹10,490","₹18,490",43% off
"POCO M6 5G (Orion Blue, 128 GB)",4.3,"9,553 Ratings & 610 Reviews",6 GB RAM | 128 GB ROM | Expandable Upto 1 TB,17.12 cm (6.74 inch) HD+ Display,50MP Rear Camera,5000 mAh Battery,Mediatek Dimensity 6100+ Processor,1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In the Box Accessories,"₹10,499","₹13,999",25% off
"MOTOROLA g24 Power (Ink blue, 128 GB)",4.2,"1,644 Ratings & 193 Reviews",4 GB RAM | 128 GB ROM | Expandable Upto 1 TB,16.76 cm (6.6 inch) HD+ Display,50MP + 2MP | 16MP Front Camera,6000 mAh Battery,Helio G85 Processor,1 Year on Handset and 6 Months on Accessories,"₹7,999","₹11,999",33% off
"POCO M6 Pro 5G (Power Black, 256 GB)",4.2,"9,819 Ratings & 870 Reviews",8 GB RAM | 256 GB ROM | Expandable Upto 1 TB,17.25 cm (6.79 inch) Full HD+ Display,50MP + 2MP | 8MP Front Camera,5000 mAh Battery,Snapdragon 4 Gen 2 Processor,1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In the Box Accessories,"₹12,499","₹17,999",30% off
"POCO M6 5G (Galactic Black, 128 GB)",4.3,"9,553 Ratings & 610 Reviews",6 GB RAM | 128 GB ROM | Expandable Upto 1 TB,17.12 cm (6.74 inch) HD+ Display,50MP Rear Camera,5000 mAh Battery,Mediatek Dimensity 6100+ Processor,1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In the Box Accessories,"₹10,499","₹13,999",25% off
"SAMSUNG Galaxy F14 5G (GOAT Green, 128 GB)",4.2,"92,963 Ratings & 6,973 Reviews",6 GB RAM | 128 GB ROM | Expandable Upto 1 TB,16.76 cm (6.6 inch) Full HD+ Display,50MP + 2MP | 13MP Front Camera,6000 mAh Battery,"Exynos 1330, Octa Core Processor",1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for In-Box Accessories,"₹10,490","₹18,490",43% off
"Nothing Phone (2a) 5G (Black, 256 GB)",4.6,306 Ratings & 28 Reviews,12 GB RAM | 256 GB ROM,17.02 cm (6.7 inch) Full HD+ Display,50MP (OIS) + 50MP | 32MP Front Camera,5000 mAh Battery,Dimensity 7200 Pro Processor,1 Year Manufacturing Warranty,"₹27,999","₹29,999",6% off
"REDMI 13C (Stardust Black, 128 GB)",4.2,"1,549 Ratings & 98 Reviews",6 GB RAM | 128 GB ROM | Expandable Upto 1 TB,17.12 cm (6.74 inch) HD+ Display,50MP Rear Camera | 8MP Front Camera,5000 mAh Battery,Helio G85 Processor,1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In the Box Accessories,"₹8,799","₹13,999",37% off
"REDMI A2 (Classic Black, 64 GB)",4.2,"8,710 Ratings & 497 Reviews",2 GB RAM | 64 GB ROM | Expandable Upto 1 TB,16.56 cm (6.52 inch) HD+ Display,8MP Rear Camera | 5MP Front Camera,5000 mAh Battery,Helio G36 Processor,1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In the Box Accessories,"₹5,299","₹9,999",47% off
"POCO M6 5G - Locked with Airtel Prepaid (Orion Blue, 128 GB)",4.3,"11,869 Ratings & 835 Reviews",4 GB RAM | 128 GB ROM | Expandable Upto 1 TB,17.12 cm (6.74 inch) HD+ Display,50MP Rear Camera,5000 mAh Battery,Mediatek Dimensity 6100+ Processor,1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In the Box Accessories,"₹8,799","₹12,999",32% off
"POCO M6 Pro 5G (Power Black, 128 GB)",4.3,"74,572 Ratings & 5,098 Reviews",6 GB RAM | 128 GB ROM | Expandable Upto 1 TB,17.25 cm (6.79 inch) Full HD+ Display,50MP + 2MP | 8MP Front Camera,5000 mAh Battery,Snapdragon 4 Gen 2 Processor,1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In the Box Accessories,"₹10,999","₹16,999",35% off
"Motorola G34 5G (Ocean Green, 128 GB)",4.2,"15,785 Ratings & 1,650 Reviews",4 GB RAM | 128 GB ROM,16.51 cm (6.5 inch) HD+ Display,50MP + 2MP | 16MP Front Camera,5000 mAh Battery,Snapdragon 695 5G Processor,Vegan Leather Design,"₹10,999","₹13,999",21% off
"POCO M6 5G (Polaris Green, 128 GB)",4.3,"9,553 Ratings & 610 Reviews",6 GB RAM | 128 GB ROM | Expandable Upto 1 TB,17.12 cm (6.74 inch) HD+ Display,50MP Rear Camera,5000 mAh Battery,Mediatek Dimensity 6100+ Processor,1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In the Box Accessories,"₹10,499","₹13,999",25% off
"vivo T2x 5G (Black Gladiator, 128 GB)",4.4,"1,62,803 Ratings & 8,707 Reviews",4 GB RAM | 128 GB ROM,16.71 cm (6.58 inch) Full HD+ Display,50MP + 2MP | 8MP Front Camera,5000 mAh Battery,Mediatek Dimensity 6020 Processor,1 Year of Device & 6 Months for Inbox Accessories,"₹11,999","₹17,999",33% off
