model,rating,reviews,memory,size,camera,battery,processor,warranty,price,original_price,discounted_percentage
"vivo T2x 5G (Glimmer Black, 128 GB)",4.4,"1,62,803 Ratings & 8,707 Reviews",4 GB RAM | 128 GB ROM,16.71 cm (6.58 inch) Full HD+ Display,50MP + 2MP | 8MP Front Camera,5000 mAh Battery,Mediatek Dimensity 6020 Processor,1 Year of Device & 6 Months for Inbox Accessories,"₹11,999","₹17,999",33% off
"Motorola g84 5G (Marshmallow Blue, 256 GB)",4.2,"34,740 Ratings & 3,616 Reviews",12 GB RAM | 256 GB ROM,16.64 cm (6.55 inch) Full HD+ Display,50MP (OIS) + 8MP | 16MP Front Camera,5000 mAh Battery,Snapdragon 695 Processor,1 Year on Handset and 6 Months on Accessories,"₹17,999","₹22,999",21% off
"Motorola g54 5G (Pearl Blue, 128 GB)",4.2,"74,755 Ratings & 7,417 Reviews",8 GB RAM | 128 GB ROM | Expandable Upto 1 TB,16.51 cm (6.5 inch) Full HD+ Display,50MP (OIS) + 8MP | 16MP Front Camera,6000 mAh Battery,Dimensity 7020 Processor,1 Year on Handset and 6 Months on Accessories,"₹13,999","₹17,999",22% off
"Motorola g54 5G (Midnight Blue, 256 GB)",4.2,"66,128 Ratings & 6,286 Reviews",12 GB RAM | 256 GB ROM | Expandable Upto 1 TB,16.51 cm (6.5 inch) Full HD+ Display,50MP (OIS) + 8MP | 16MP Front Camera,6000 mAh Battery,Dimensity 7020 Processor,1 Year on Handset and 6 Months on Accessories,"₹15,999","₹21,999",27% off
SAMSUNG Guru Music 2,4.2,"2,26,996 Ratings & 20,682 Reviews",NA ROM | Expandable Upto 16 GB,5.08 cm (2 inch) QVGA Display,0MP Front Camera,800 mAh Battery,NA 0 Single Core 208MHz Processor,No Warranty,"₹1,220","₹2,599",53% off
"REDMI 13C (Starshine Green, 128 GB)",4.2,"1,549 Ratings & 98 Reviews",6 GB RAM | 128 GB ROM | Expandable Upto 1 TB,17.12 cm (6.74 inch) HD+ Display,50MP Rear Camera | 8MP Front Camera,5000 mAh Battery,Helio G85 Processor,1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In the Box Accessories,"₹8,799","₹13,999",37% off
"POCO C51 (Royal Blue, 64 GB)",4,"1,95,747 Ratings & 11,002 Reviews",4 GB RAM | 64 GB ROM | Expandable Upto 1 TB,16.56 cm (6.52 inch) HD+ Display,8MP Dual Rear Camera | 5MP Front Camera,5000 mAh Battery,Helio G36 Processor,1 Year Manufacturer Warranty for Phone and 6 Months Warranty for in the Box Accessories,"₹5,499","₹9,999",45% off
"Motorola Edge 40 Neo (Caneel Bay, 128 GB)",4.3,"33,971 Ratings & 4,274 Reviews",8 GB RAM | 128 GB ROM,16.64 cm (6.55 inch) Full HD+ Display,50MP + 13MP | 32MP Front Camera,5000 mAh Battery,Dimensity 7030 Processor,1 Year on Handset and 6 Months on Accessories,"₹22,999","₹27,999",17% off
"MOTOROLA G04 (Sea Green, 64 GB)",4.2,"1,459 Ratings & 170 Reviews",4 GB RAM | 64 GB ROM | Expandable Upto 1 TB,16.76 cm (6.6 inch) HD+ Display,16MP Rear Camera | 5MP Front Camera,5000 mAh Battery,Unisoc T606 Processor,1 Year on Handset and 6 Months on Accessories,"₹6,999","₹9,999",30% off
"MOTOROLA g24 Power (Ink blue, 128 GB)",4.2,"1,755 Ratings & 177 Reviews",8 GB RAM | 128 GB ROM | Expandable Upto 1 TB,16.76 cm (6.6 inch) HD+ Display,50MP + 2MP | 16MP Front Camera,6000 mAh Battery,Helio G85 Processor,1 Year on Handset and 6 Months on Accessories,"₹8,999","₹12,999",30% off
"Motorola G34 5G (Charcoal Black, 128 GB)",4.2,"15,785 Ratings & 1,650 Reviews",4 GB RAM | 128 GB ROM,16.51 cm (6.5 inch) HD+ Display,50MP + 2MP | 16MP Front Camera,5000 mAh Battery,Snapdragon 695 5G Processor,1 Year on Handset and 6 Months on Accessories,"₹10,999","₹13,999",21% off
"vivo T2x 5G (Glimmer Black, 128 GB)",4.3,"65,556 Ratings & 3,975 Reviews",8 GB RAM | 128 GB ROM,16.71 cm (6.58 inch) Full HD+ Display,50MP + 2MP | 8MP Front Camera,5000 mAh Battery,Mediatek Dimensity 6020 Processor,1 Year of Device & 6 Months for Inbox Accessories,"₹14,999","₹20,999",28% off
"MOTOROLA g24 Power (Glacier Blue, 128 GB)",4.2,"1,755 Ratings & 177 Reviews",8 GB RAM | 128 GB ROM | Expandable Upto 1 TB,16.76 cm (6.6 inch) HD+ Display,50MP + 2MP | 16MP Front Camera,6000 mAh Battery,Helio G85 Processor,1 Year on Handset and 6 Months on Accessories,"₹8,999","₹12,999",30% off
"MOTOROLA G04 (Sea Green, 128 GB)",4.1,933 Ratings & 143 Reviews,8 GB RAM | 128 GB ROM | Expandable Upto 1 TB,16.76 cm (6.6 inch) HD+ Display,16MP Rear Camera | 5MP Front Camera,5000 mAh Battery,Unisoc T606 Processor,1 Year on Handset and 6 Months on Accessories,"₹7,999","₹10,999",27% off
"REDMI A2 (Aqua Blue, 64 GB)",4.2,"8,710 Ratings & 497 Reviews",2 GB RAM | 64 GB ROM | Expandable Upto 1 TB,16.56 cm (6.52 inch) HD+ Display,8MP Rear Camera | 5MP Front Camera,5000 mAh Battery,Helio G36 Processor,1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In the Box Accessories,"₹5,299","₹9,999",47% off
"REDMI A2 (Sea Green, 64 GB)",4.2,"8,710 Ratings & 497 Reviews",2 GB RAM | 64 GB ROM | Expandable Upto 1 TB,16.56 cm (6.52 inch) HD+ Display,8MP Rear Camera | 5MP Front Camera,5000 mAh Battery,Helio G36 Processor,1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In the Box Accessories,"₹5,299","₹9,999",47% off
"POCO C55 (Power Black, 128 GB)",4.2,"1,25,496 Ratings & 7,698 Reviews",6 GB RAM | 128 GB ROM | Expandable Upto 1 TB,17.04 cm (6.71 inch) HD+ Display,50MP Dual Rear Camera | 5MP Front Camera,5000 mAh Battery,Mediatek Helio G85 Processor,1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In the Box Accessories,"₹7,999","₹13,999",42% off
"POCO M6 5G (Orion Blue, 128 GB)",4.3,"11,869 Ratings & 835 Reviews",4 GB RAM | 128 GB ROM | Expandable Upto 1 TB,17.12 cm (6.74 inch) HD+ Display,50MP Rear Camera,5000 mAh Battery,Mediatek Dimensity 6100+ Processor,1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In the Box Accessories,"₹9,499","₹12,999",26% off
"Nothing Phone (2a) 5G (White, 128 GB)",4.5,"4,160 Ratings & 670 Reviews",8 GB RAM | 128 GB ROM,17.02 cm (6.7 inch) Full HD+ Display,50MP (OIS) + 50MP | 32MP Front Camera,5000 mAh Battery,Dimensity 7200 Pro Processor,1 Year Manufacturing Warranty,"₹23,999","₹25,999",7% off
"SAMSUNG Galaxy F04 (Jade Purple, 64 GB)",4.2,"1,02,808 Ratings & 5,927 Reviews",4 GB RAM | 64 GB ROM | Expandable Upto 1 TB,16.51 cm (6.5 inch) HD Display,13MP + 2MP | 5MP Front Camera,5000 mAh Lithium-Ion Battery,Mediatek Helio P35 Processor,1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for In-Box Accessories,"₹7,999","₹11,499",30% off
"Motorola G34 5G (Ocean Green, 128 GB)",4.2,"15,785 Ratings & 1,650 Reviews",4 GB RAM | 128 GB ROM,16.51 cm (6.5 inch) HD+ Display,50MP + 2MP | 16MP Front Camera,5000 mAh Battery,Snapdragon 695 5G Processor,Vegan Leather Design,"₹10,999","₹13,999",21% off
"Nokia 105 Single SIM, Keypad Mobile Phone with Wireless FM Radio",4.1,"95,089 Ratings & 6,141 Reviews",32 MB RAM | 32 MB ROM,4.5 cm (1.77 inch) Display,0MP | 0MP Front Camera,1000 mAh Battery,SC6531E Processor,1 Year Replacement Warranty for Device and 6 Months Manufacturer Warranty for Inbox Accessories Including Battery from the Date of Purchase,"₹1,299","₹1,597",18% off
"Nothing Phone (2a) 5G (Black, 256 GB)",4.5,"4,160 Ratings & 670 Reviews",8 GB RAM | 256 GB ROM,17.02 cm (6.7 inch) Full HD+ Display,50MP (OIS) + 50MP | 32MP Front Camera,5000 mAh Battery,Dimensity 7200 Pro Processor,1 Year Manufacturing Warranty,"₹25,999","₹27,999",7% off
"REDMI Note 12 (Lunar Black, 64 GB)",4.1,"30,832 Ratings & 2,517 Reviews",6 GB RAM | 64 GB ROM | Expandable Upto 1 TB,16.94 cm (6.67 inch) Full HD+ Super AMOLED Display,50MP + 8MP + 2MP | 13MP Front Camera,5000 mAh Battery,Snapdragon 685 Processor,1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In the Box Accessories,"₹10,999","₹18,999",42% off
"Nothing Phone (2a) 5G (White, 256 GB)",4.5,"4,160 Ratings & 670 Reviews",8 GB RAM | 256 GB ROM,17.02 cm (6.7 inch) Full HD+ Display,50MP (OIS) + 50MP | 32MP Front Camera,5000 mAh Battery,Dimensity 7200 Pro Processor,1 Year Manufacturing Warranty,"₹25,999","₹27,999",7% off
"MOTOROLA G04 (Satin Blue, 64 GB)",4.2,"1,459 Ratings & 170 Reviews",4 GB RAM | 64 GB ROM | Expandable Upto 1 TB,16.76 cm (6.6 inch) HD+ Display,16MP Rear Camera | 5MP Front Camera,5000 mAh Battery,Unisoc T606 Processor,1 Year on Handset and 6 Months on Accessories,"₹6,999","₹9,999",30% off
"Motorola G34 5G (Ice Blue, 128 GB)",4.2,"15,785 Ratings & 1,650 Reviews",4 GB RAM | 128 GB ROM,16.51 cm (6.5 inch) HD+ Display,50MP + 2MP | 16MP Front Camera,5000 mAh Battery,Snapdragon 695 5G Processor,1 Year on Handset and 6 Months on Accessories,"₹10,999","₹13,999",21% off
"Nothing Phone (2a) 5G (Black, 128 GB)",4.5,"4,160 Ratings & 670 Reviews",8 GB RAM | 128 GB ROM,17.02 cm (6.7 inch) Full HD+ Display,50MP (OIS) + 50MP | 32MP Front Camera,5000 mAh Battery,Dimensity 7200 Pro Processor,1 Year Manufacturing Warranty,"₹23,999","₹25,999",7% off
Nokia 105 Classic without Charger,4.1,571 Ratings & 21 Reviews,32 MB RAM | 32 MB ROM,4.5 cm (1.77 inch) Display,0MP Front Camera,800 mAh Battery,SC6531E Processor,1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for Inbox Accessories Including Battery from the Date of Purchase,₹999,"₹1,249",20% off
"Motorola Edge 40 Neo (Peach Fuzz, 256 GB)",4.3,"39,026 Ratings & 5,167 Reviews",12 GB RAM | 256 GB ROM,16.64 cm (6.55 inch) Full HD+ Display,50MP + 13MP | 32MP Front Camera,5000 mAh Battery,Dimensity 7030 Processor,1 Year on Handset and 6 Months on Accessories,"₹24,999","₹29,999",16% off
SAMSUNG GURU MUSIC 2,3.8,"6,478 Ratings & 531 Reviews",8 MB RAM | 0 GB ROM | Expandable Upto 16 GB,5.08 cm (2 inch) QVGA Display,0MP | 0MP Front Camera,800 mAh Battery,0 0 0 208MHz Processor,NA,"₹1,199","₹2,599",53% off
"POCO C65 (Pastel Green, 128 GB)",4.2,"8,920 Ratings & 690 Reviews",4 GB RAM | 128 GB ROM | Expandable Upto 1 TB,17.12 cm (6.74 inch) HD+ Display,50MP + AI Lens + 2MP | 8MP Front Camera,5000 mAh Battery,Helio G85 Processor,1 Year Manufacturer Warranty for Phone and 6 Months Warranty for in the Box Accessories,"₹7,499","₹10,999",31% off
"REDMI 12 5G (Jade Black, 128 GB)",4.3,"23,886 Ratings & 1,570 Reviews",6 GB RAM | 128 GB ROM | Expandable Upto 1 TB,17.25 cm (6.79 inch) Full HD+ Display,50MP + 2MP | 8MP Front Camera,5000 mAh Battery,Snapdragon 4 Gen 2 Processor,1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In the Box Accessories,"₹13,499","₹17,999",25% off
"REDMI 12 5G (Moonstone Silver, 128 GB)",4.3,"23,886 Ratings & 1,570 Reviews",6 GB RAM | 128 GB ROM | Expandable Upto 1 TB,17.25 cm (6.79 inch) Full HD+ Display,50MP + 2MP | 8MP Front Camera,5000 mAh Battery,Snapdragon 4 Gen 2 Processor,1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In the Box Accessories,"₹13,499","₹17,999",25% off
SAMSUNG Guru Music 2,4.2,"2,26,996 Ratings & 20,682 Reviews",NA ROM,5.08 cm (2 inch) NA Display,800 mAh Battery,1 Year Manufacturer Warranty,,No Warranty,"₹1,350","₹2,599",48% off
"POCO M6 5G (Galactic Black, 128 GB)",4.3,"11,869 Ratings & 835 Reviews",4 GB RAM | 128 GB ROM | Expandable Upto 1 TB,17.12 cm (6.74 inch) HD+ Display,50MP Rear Camera,5000 mAh Battery,Mediatek Dimensity 6100+ Processor,1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In the Box Accessories,"₹9,499","₹12,999",26% off
"REDMI 12 5G (Pastel Blue, 128 GB)",4.3,"23,886 Ratings & 1,570 Reviews",6 GB RAM | 128 GB ROM | Expandable Upto 1 TB,17.25 cm (6.79 inch) Full HD+ Display,50MP + 2MP | 8MP Front Camera,5000 mAh Battery,Snapdragon 4 Gen 2 Processor,1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In the Box Accessories,"₹13,499","₹17,999",25% off
"MOTOROLA g24 Power (Ink blue, 128 GB)",4.2,"1,755 Ratings & 177 Reviews",8 GB RAM | 128 GB ROM | Expandable Upto 1 TB,16.76 cm (6.6 inch) HD+ Display,50MP + 2MP | 16MP Front Camera,6000 mAh Battery,Helio G85 Processor,1 Year on Handset and 6 Months on Accessories,"₹8,999","₹12,999",30% off
"Nothing Phone (2a) 5G (Black, 256 GB)",4.6,306 Ratings & 28 Reviews,12 GB RAM | 256 GB ROM,17.02 cm (6.7 inch) Full HD+ Display,50MP (OIS) + 50MP | 32MP Front Camera,5000 mAh Battery,Dimensity 7200 Pro Processor,1 Year Manufacturing Warranty,"₹27,999","₹29,999",6% off
"POCO M6 5G (Orion Blue, 256 GB)",4.2,"2,580 Ratings & 201 Reviews",8 GB RAM | 256 GB ROM | Expandable Upto 1 TB,17.12 cm (6.74 inch) HD+ Display,50MP Rear Camera,5000 mAh Battery,Mediatek Dimensity 6100+ Processor,1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In the Box Accessories,"₹11,999","₹15,999",25% off
"MOTOROLA g24 Power (Glacier Blue, 128 GB)",4.2,"1,644 Ratings & 193 Reviews",4 GB RAM | 128 GB ROM | Expandable Upto 1 TB,16.76 cm (6.6 inch) HD+ Display,50MP + 2MP | 16MP Front Camera,6000 mAh Battery,Helio G85 Processor,1 Year on Handset and 6 Months on Accessories,"₹7,999","₹11,999",33% off
"vivo T2x 5G (Sunstone Orange, 128 GB)",4.4,"1,62,803 Ratings & 8,707 Reviews",4 GB RAM | 128 GB ROM,16.71 cm (6.58 inch) Full HD+ Display,50MP + 2MP | 8MP Front Camera,5000 mAh Battery,Mediatek Dimensity 6020 Processor,1 Year of Device & 6 Months for Inbox Accessories,"₹11,999","₹17,999",33% off
"REDMI A2 (Aqua Blue, 64 GB)",4.2,"20,731 Ratings & 1,199 Reviews",4 GB RAM | 64 GB ROM | Expandable Upto 1 TB,16.56 cm (6.52 inch) HD+ Display,8MP Rear Camera | 5MP Front Camera,5000 mAh Battery,Helio G36 Processor,1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In the Box Accessories,"₹6,585","₹10,999",40% off
"POCO M6 5G (Galactic Black, 256 GB)",4.2,"2,580 Ratings & 201 Reviews",8 GB RAM | 256 GB ROM | Expandable Upto 1 TB,17.12 cm (6.74 inch) HD+ Display,50MP Rear Camera,5000 mAh Battery,Mediatek Dimensity 6100+ Processor,1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In the Box Accessories,"₹11,999","₹15,999",25% off
Nokia 105 Classic without Charger,4.1,571 Ratings & 21 Reviews,32 MB RAM | 32 MB ROM,4.5 cm (1.77 inch) Display,0MP Front Camera,800 mAh Battery,SC6531E Processor,1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for Inbox Accessories Including Battery from the Date of Purchase,₹999,"₹1,249",20% off
"Apple iPhone 15 (Green, 128 GB)",4.6,"18,524 Ratings & 1,267 Reviews",128 GB ROM,15.49 cm (6.1 inch) Super Retina XDR Display,48MP + 12MP | 12MP Front Camera,"A16 Bionic Chip, 6 Core Processor Processor",1 Year Warranty for Phone and 6 Months Warranty for In-Box Accessories,No Warranty,"₹72,999","₹79,900",8% off
itel Ace2 Keypad Mobile| 1000 mAh Battery|Expandable Storage 32GB,4,"3,509 Ratings & 284 Reviews",4 MB RAM | 4 MB ROM | Expandable Upto 32 GB,4.57 cm (1.8 inch) Quarter QVGA Display,0MP Front Camera,1000 mAh Lithium Ion Battery,Spreadtrum Processor,12 Month Warranty on Device and 6 Months on Accessories Including Battery,₹810,"₹1,199",32% off
"REDMI 13C (Starfrost White, 128 GB)",4.2,"1,549 Ratings & 98 Reviews",6 GB RAM | 128 GB ROM | Expandable Upto 1 TB,17.12 cm (6.74 inch) HD+ Display,50MP Rear Camera | 8MP Front Camera,5000 mAh Battery,Helio G85 Processor,1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In the Box Accessories,"₹8,799","₹13,999",37% off
"Infinix SMART 8 HD (Shiny Gold, 64 GB)",4.3,"21,848 Ratings & 1,809 Reviews",3 GB RAM | 64 GB ROM | Expandable Upto 2 TB,16.76 cm (6.6 inch) HD+ Display,13MP + AI Lens | 8MP Front Camera,5000 mAh Battery,T606 Processor,1 Year on Handset and 6 Months on Accessories,"₹6,499","₹7,999",18% off
"Infinix SMART 8 HD (Crystal Green, 64 GB)",4.3,"21,848 Ratings & 1,809 Reviews",3 GB RAM | 64 GB ROM | Expandable Upto 2 TB,16.76 cm (6.6 inch) HD+ Display,13MP + AI Lens | 8MP Front Camera,5000 mAh Battery,T606 Processor,1 Year on Handset and 6 Months on Accessories,"₹6,499","₹7,999",18% off
"OnePlus Nord CE 3 Lite 5G (Pastel Lime, 256 GB)",4.4,"63,359 Ratings & 4,441 Reviews",8 GB RAM | 256 GB ROM,17.07 cm (6.72 inch) Display,108MP Rear Camera,5000 mAh Battery,Domestic Warranty of 12 months on phone & 6 months on accessories,No Warranty,"₹19,825","₹21,999",9% off
"OnePlus Nord CE 3 Lite 5G (Chromatic Gray, 256 GB)",4.4,"63,359 Ratings & 4,441 Reviews",8 GB RAM | 256 GB ROM,17.07 cm (6.72 inch) Display,108MP Rear Camera,5000 mAh Battery,Domestic Warranty of 12 months on phone & 6 months on accessories,No Warranty,"₹19,736","₹21,999",10% off
"POCO C55 (Forest Green, 64 GB)",4.2,"1,11,926 Ratings & 6,975 Reviews",4 GB RAM | 64 GB ROM | Expandable Upto 1 TB,17.04 cm (6.71 inch) HD+ Display,50MP Dual Rear Camera | 5MP Front Camera,5000 mAh Battery,Mediatek Helio G85 Processor,1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In the Box Accessories,"₹7,999","₹11,999",33% off
"Nokia 105 Single SIM, Keypad Mobile Phone with Wireless FM Radio",4.1,"95,089 Ratings & 6,141 Reviews",32 MB RAM | 32 MB ROM,4.5 cm (1.77 inch) Display,0MP | 0MP Front Camera,1000 mAh Battery,SC6531E Processor,1 Year Replacement Warranty for Device and 6 Months Manufacturer Warranty for Inbox Accessories Including Battery from the Date of Purchase,"₹1,199","₹1,599",25% off
"Infinix SMART 8 HD (Timber Black, 64 GB)",4.3,"21,848 Ratings & 1,809 Reviews",3 GB RAM | 64 GB ROM | Expandable Upto 2 TB,16.76 cm (6.6 inch) HD+ Display,13MP + AI Lens | 8MP Front Camera,5000 mAh Battery,T606 Processor,1 Year on Handset and 6 Months on Accessories,"₹6,499","₹7,999",18% off
"Infinix SMART 8 HD (Galaxy White, 64 GB)",4.3,"21,848 Ratings & 1,809 Reviews",3 GB RAM | 64 GB ROM | Expandable Upto 2 TB,16.76 cm (6.6 inch) HD+ Display,13MP + AI Lens | 8MP Front Camera,5000 mAh Battery,T606 Processor,1 Year on Handset and 6 Months on Accessories,"₹6,499","₹7,999",18% off
"MOTOROLA G04 (Sunrise Orange, 64 GB)",4.2,"1,459 Ratings & 170 Reviews",4 GB RAM | 64 GB ROM | Expandable Upto 1 TB,16.76 cm (6.6 inch) HD+ Display,16MP Rear Camera | 5MP Front Camera,5000 mAh Battery,Unisoc T606 Processor,1 Year on Handset and 6 Months on Accessories,"₹6,999","₹9,999",30% off
"OnePlus Nord CE 3 Lite 5G (Chromatic Gray, 128 GB)",4.4,"63,359 Ratings & 4,441 Reviews",8 GB RAM | 128 GB ROM,17.07 cm (6.72 inch) Display,108MP Rear Camera,5000 mAh Battery,Domestic Warranty of 12 months on phone & 6 months on accessories,No Warranty,"₹17,844","₹19,999",10% off
"SAMSUNG Galaxy F15 5G (Jazzy Green, 128 GB)",4.3,"1,969 Ratings & 253 Reviews",6 GB RAM | 128 GB ROM | Expandable Upto 1 TB,16.51 cm (6.5 inch) Full HD+ Display,50MP + 5MP + 2MP | 13MP Front Camera,6000 mAh Lithium ion Battery,MediaTek Dimensity 6100+ Processor,1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for In-Box Accessories,"₹14,499","₹16,999",14% off
"Infinix Note 30 5G (Sunset Gold, 256 GB)",4.2,"87,885 Ratings & 9,596 Reviews",8 GB RAM | 256 GB ROM | Expandable Upto 2 TB,17.22 cm (6.78 inch) Full HD+ Display,108 MP + 2 MP+ AI Lens | 16MP Front Camera,5000 mAh Li-ion Polymer Battery,Dimensity 6080 Processor,1 Year on Handset and 6 Months on Accessories,"₹15,499","₹19,999",22% off
